k,inertia,silhouette,avg_candidate_dist_km
5,1815.8111735967657,0.58687170067495,42.76730954391762
6,1461.6241709777241,0.5882936306150836,37.44346746331508
7,1219.9067544297134,0.5717826272297086,33.919532603974595
8,1212.664603632761,0.5622501326959987,32.483426170733836
9,1025.2125013144462,0.4355217011302136,30.1866920246664
10,782.7225303182499,0.45579989425317663,27.055505413318116
11,758.141655368242,0.43832561998908753,26.470611423696052
12,712.9934659309758,0.43943400089027884,25.78730602632157
13,594.7659312342624,0.45484261605649434,23.07765924200687
14,522.1074101926941,0.46286938575500075,21.652990059223786
15,488.4868156609996,0.444111811453144,20.626213801769524
16,453.46420483452704,0.43797570511829964,19.99556304504575
17,432.2785835624698,0.4377754333764288,19.254688262699226
18,409.0318047030999,0.43760359496551904,18.778276995495542
19,389.27075619316946,0.4477819061337525,18.21799135794381
20,366.2958719892987,0.4443979791762394,17.727402532640575
21,315.5606241424415,0.452379062937097,16.533891678751676
22,301.71976073120555,0.4495890746326565,16.2098965524117
23,278.0967485507323,0.45718389333013626,15.782643328942715
24,264.6327495029762,0.45295579341316655,15.41798307988622
25,255.80283132371193,0.45317139480563656,15.213969897749047
26,243.3888003056438,0.4559043758005978,15.044392704476845
27,258.01813146286224,0.4384916366247077,15.20809849266734
28,237.05980941884806,0.4533864748818937,14.698958073691031
29,227.34045955916528,0.44315023185545777,14.29612668636138
30,218.80109557964337,0.45638568737986374,13.980539619080357
